Emotion: anxiety/fear, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 40
Emotion: happiness, Estimated Intensity: 0.83, RGB: (210, 255, 10), Size: 33
Emotion: boredom, Estimated Intensity: 0.61, RGB: (255, 255, 255), Size: 23
Emotion: neutral, Estimated Intensity: 0.58, RGB: (30, 40, 30), Size: 22
Emotion: anger, Estimated Intensity: 0.59, RGB: (255, 0, 0), Size: 22
Emotion: anger, Estimated Intensity: 0.76, RGB: (255, 0, 0), Size: 30
Emotion: anxiety/fear, Estimated Intensity: 0.51, RGB: (127, 127, 127), Size: 19
Emotion: anxiety/fear, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 39
Emotion: happiness, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: boredom, Estimated Intensity: 0.78, RGB: (255, 255, 255), Size: 31
Emotion: neutral, Estimated Intensity: 0.79, RGB: (30, 40, 30), Size: 31
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.93, RGB: (255, 0, 0), Size: 37
Emotion: happiness, Estimated Intensity: 0.91, RGB: (210, 255, 10), Size: 36
Emotion: boredom, Estimated Intensity: 0.92, RGB: (255, 255, 255), Size: 37
Emotion: neutral, Estimated Intensity: 0.59, RGB: (30, 40, 30), Size: 22
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.86, RGB: (255, 0, 0), Size: 34
Emotion: happiness, Estimated Intensity: 0.92, RGB: (210, 255, 10), Size: 36
Emotion: boredom, Estimated Intensity: 0.58, RGB: (255, 255, 255), Size: 22
Emotion: neutral, Estimated Intensity: 0.94, RGB: (30, 40, 30), Size: 37
Emotion: sadness, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.95, RGB: (255, 0, 0), Size: 38
Emotion: happiness, Estimated Intensity: 0.93, RGB: (210, 255, 10), Size: 37
Emotion: boredom, Estimated Intensity: 0.67, RGB: (255, 255, 255), Size: 26
Emotion: neutral, Estimated Intensity: 0.93, RGB: (30, 40, 30), Size: 37
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.69, RGB: (255, 0, 0), Size: 27
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: happiness, Estimated Intensity: 0.84, RGB: (210, 255, 10), Size: 33
Emotion: happiness, Estimated Intensity: 0.78, RGB: (210, 255, 10), Size: 31
Emotion: boredom, Estimated Intensity: 0.95, RGB: (255, 255, 255), Size: 38
Emotion: neutral, Estimated Intensity: 0.89, RGB: (30, 40, 30), Size: 35
Emotion: anger, Estimated Intensity: 0.95, RGB: (255, 0, 0), Size: 38
Emotion: happiness, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: boredom, Estimated Intensity: 0.98, RGB: (255, 255, 255), Size: 39
Emotion: neutral, Estimated Intensity: 0.91, RGB: (30, 40, 30), Size: 36
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: neutral, Estimated Intensity: 0.89, RGB: (30, 40, 30), Size: 35
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.94, RGB: (255, 0, 0), Size: 37
Emotion: anxiety/fear, Estimated Intensity: 0.70, RGB: (127, 127, 127), Size: 27
Emotion: happiness, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: boredom, Estimated Intensity: 0.98, RGB: (255, 255, 255), Size: 39
Emotion: neutral, Estimated Intensity: 0.98, RGB: (30, 40, 30), Size: 39
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.87, RGB: (255, 0, 0), Size: 35
Emotion: anger, Estimated Intensity: 0.79, RGB: (255, 0, 0), Size: 31
Emotion: anxiety/fear, Estimated Intensity: 0.96, RGB: (127, 127, 127), Size: 38
Emotion: happiness, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 39
Emotion: boredom, Estimated Intensity: 0.93, RGB: (255, 255, 255), Size: 37
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.81, RGB: (255, 0, 0), Size: 32
Emotion: disgust, Estimated Intensity: 0.41, RGB: (0, 112, 192), Size: 15
Emotion: happiness, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 39
Emotion: neutral, Estimated Intensity: 0.84, RGB: (30, 40, 30), Size: 33
Emotion: anger, Estimated Intensity: 0.63, RGB: (255, 0, 0), Size: 24
Emotion: disgust, Estimated Intensity: 0.74, RGB: (0, 112, 192), Size: 29
Emotion: disgust, Estimated Intensity: 0.71, RGB: (0, 112, 192), Size: 27
Emotion: boredom, Estimated Intensity: 0.69, RGB: (255, 255, 255), Size: 27
Emotion: anger, Estimated Intensity: 0.89, RGB: (255, 0, 0), Size: 35
Emotion: happiness, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: boredom, Estimated Intensity: 0.96, RGB: (255, 255, 255), Size: 38
Emotion: neutral, Estimated Intensity: 0.98, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 0.81, RGB: (255, 0, 0), Size: 32
Emotion: disgust, Estimated Intensity: 0.93, RGB: (0, 112, 192), Size: 37
Emotion: boredom, Estimated Intensity: 0.92, RGB: (255, 255, 255), Size: 36
Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 38
Emotion: sadness, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.92, RGB: (255, 0, 0), Size: 37
Emotion: anger, Estimated Intensity: 0.97, RGB: (255, 0, 0), Size: 39
Emotion: disgust, Estimated Intensity: 0.84, RGB: (0, 112, 192), Size: 33
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.92, RGB: (255, 0, 0), Size: 37
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 39
Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 38
Emotion: anger, Estimated Intensity: 0.98, RGB: (255, 0, 0), Size: 39
Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 38
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.78, RGB: (255, 0, 0), Size: 31
Emotion: anger, Estimated Intensity: 0.83, RGB: (255, 0, 0), Size: 33
Emotion: disgust, Estimated Intensity: 0.47, RGB: (0, 112, 192), Size: 17
Emotion: happiness, Estimated Intensity: 0.92, RGB: (210, 255, 10), Size: 37
Emotion: happiness, Estimated Intensity: 0.66, RGB: (210, 255, 10), Size: 26
Emotion: boredom, Estimated Intensity: 0.68, RGB: (255, 255, 255), Size: 26
Emotion: neutral, Estimated Intensity: 0.94, RGB: (30, 40, 30), Size: 37
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: disgust, Estimated Intensity: 0.97, RGB: (0, 112, 192), Size: 39
Emotion: neutral, Estimated Intensity: 0.87, RGB: (30, 40, 30), Size: 34
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.91, RGB: (127, 127, 127), Size: 36
Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 38
Emotion: anger, Estimated Intensity: 0.98, RGB: (255, 0, 0), Size: 39
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 39
