Emotion: happiness, Estimated Intensity: 0.92, RGB: (210, 255, 10), Size: 37
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 0.97, RGB: (255, 0, 0), Size: 39
Emotion: happiness, Estimated Intensity: 0.51, RGB: (210, 255, 10), Size: 19
Emotion: neutral, Estimated Intensity: 0.87, RGB: (30, 40, 30), Size: 35
Emotion: sadness, Estimated Intensity: 0.88, RGB: (40, 0, 80), Size: 35
Emotion: anger, Estimated Intensity: 0.94, RGB: (255, 0, 0), Size: 37
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.90, RGB: (127, 127, 127), Size: 36
Emotion: happiness, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 39
Emotion: boredom, Estimated Intensity: 0.91, RGB: (255, 255, 255), Size: 36
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 0.97, RGB: (40, 0, 80), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.91, RGB: (127, 127, 127), Size: 36
Emotion: happiness, Estimated Intensity: 0.91, RGB: (210, 255, 10), Size: 36
Emotion: neutral, Estimated Intensity: 0.84, RGB: (30, 40, 30), Size: 33
Emotion: sadness, Estimated Intensity: 0.95, RGB: (40, 0, 80), Size: 38
Emotion: anger, Estimated Intensity: 0.81, RGB: (255, 0, 0), Size: 32
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.88, RGB: (210, 255, 10), Size: 35
Emotion: happiness, Estimated Intensity: 0.62, RGB: (210, 255, 10), Size: 24
Emotion: boredom, Estimated Intensity: 0.95, RGB: (255, 255, 255), Size: 38
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.84, RGB: (210, 255, 10), Size: 33
Emotion: boredom, Estimated Intensity: 0.84, RGB: (255, 255, 255), Size: 33
Emotion: neutral, Estimated Intensity: 0.76, RGB: (30, 40, 30), Size: 30
Emotion: sadness, Estimated Intensity: 0.77, RGB: (40, 0, 80), Size: 30
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 39
Emotion: anger, Estimated Intensity: 0.65, RGB: (255, 0, 0), Size: 25
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
