Emotion: happiness, Estimated Intensity: 0.60, RGB: (210, 255, 10), Size: 23
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 0.90, RGB: (255, 0, 0), Size: 36
Emotion: happiness, Estimated Intensity: 0.57, RGB: (210, 255, 10), Size: 22
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.56, RGB: (255, 0, 0), Size: 21
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: happiness, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: boredom, Estimated Intensity: 0.84, RGB: (255, 255, 255), Size: 33
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: happiness, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 39
Emotion: neutral, Estimated Intensity: 0.82, RGB: (30, 40, 30), Size: 32
Emotion: sadness, Estimated Intensity: 0.60, RGB: (40, 0, 80), Size: 23
Emotion: anger, Estimated Intensity: 0.85, RGB: (255, 0, 0), Size: 33
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: happiness, Estimated Intensity: 0.84, RGB: (210, 255, 10), Size: 33
Emotion: boredom, Estimated Intensity: 0.95, RGB: (255, 255, 255), Size: 38
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.97, RGB: (210, 255, 10), Size: 39
Emotion: boredom, Estimated Intensity: 0.97, RGB: (255, 255, 255), Size: 39
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 0.79, RGB: (255, 0, 0), Size: 31
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 38
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 39
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 39
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: happiness, Estimated Intensity: 0.80, RGB: (210, 255, 10), Size: 31
Emotion: boredom, Estimated Intensity: 0.91, RGB: (255, 255, 255), Size: 36
Emotion: neutral, Estimated Intensity: 0.91, RGB: (30, 40, 30), Size: 36
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.87, RGB: (127, 127, 127), Size: 35
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: happiness, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 39
Emotion: boredom, Estimated Intensity: 0.76, RGB: (255, 255, 255), Size: 30
Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 38
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.90, RGB: (210, 255, 10), Size: 36
Emotion: boredom, Estimated Intensity: 0.74, RGB: (255, 255, 255), Size: 29
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: boredom, Estimated Intensity: 0.89, RGB: (255, 255, 255), Size: 35
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.98, RGB: (255, 0, 0), Size: 39
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: happiness, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: happiness, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
