Emotion: anxiety, Estimated Intensity: 0.99, RGB: (73, 205, 46), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (73, 205, 46), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (73, 205, 46), Size: 40
Emotion: anxiety, Estimated Intensity: 0.91, RGB: (73, 205, 46), Size: 36
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (73, 205, 46), Size: 40
Emotion: anxiety, Estimated Intensity: 0.96, RGB: (73, 205, 46), Size: 38
Emotion: anxiety, Estimated Intensity: 0.96, RGB: (73, 205, 46), Size: 38
Emotion: anxiety, Estimated Intensity: 0.59, RGB: (73, 205, 46), Size: 23
Emotion: anxiety, Estimated Intensity: 0.93, RGB: (73, 205, 46), Size: 37
Emotion: anxiety, Estimated Intensity: 0.99, RGB: (73, 205, 46), Size: 40
Emotion: boredom, Estimated Intensity: 0.96, RGB: (86, 49, 45), Size: 38
Emotion: boredom, Estimated Intensity: 0.57, RGB: (86, 49, 45), Size: 21
Emotion: boredom, Estimated Intensity: 0.87, RGB: (86, 49, 45), Size: 35
Emotion: boredom, Estimated Intensity: 1.00, RGB: (86, 49, 45), Size: 40
Emotion: boredom, Estimated Intensity: 0.97, RGB: (86, 49, 45), Size: 39
Emotion: boredom, Estimated Intensity: 0.66, RGB: (86, 49, 45), Size: 25
Emotion: boredom, Estimated Intensity: 0.39, RGB: (86, 49, 45), Size: 14
Emotion: boredom, Estimated Intensity: 1.00, RGB: (86, 49, 45), Size: 40
Emotion: boredom, Estimated Intensity: 0.93, RGB: (86, 49, 45), Size: 37
Emotion: boredom, Estimated Intensity: 0.88, RGB: (86, 49, 45), Size: 35
Emotion: boredom, Estimated Intensity: 0.75, RGB: (86, 49, 45), Size: 29
Emotion: boredom, Estimated Intensity: 0.89, RGB: (86, 49, 45), Size: 35
Emotion: boredom, Estimated Intensity: 0.45, RGB: (86, 49, 45), Size: 16
Emotion: boredom, Estimated Intensity: 0.99, RGB: (86, 49, 45), Size: 40
Emotion: boredom, Estimated Intensity: 0.97, RGB: (86, 49, 45), Size: 39
Emotion: cold anger, Estimated Intensity: 0.71, RGB: (172, 214, 73), Size: 28
Emotion: cold anger, Estimated Intensity: 0.71, RGB: (172, 214, 73), Size: 27
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 0.99, RGB: (172, 214, 73), Size: 39
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 0.67, RGB: (172, 214, 73), Size: 26
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 0.99, RGB: (172, 214, 73), Size: 40
Emotion: cold anger, Estimated Intensity: 1.00, RGB: (172, 214, 73), Size: 40
Emotion: contempt, Estimated Intensity: 1.00, RGB: (155, 168, 97), Size: 40
Emotion: contempt, Estimated Intensity: 0.94, RGB: (155, 168, 97), Size: 37
Emotion: contempt, Estimated Intensity: 0.99, RGB: (155, 168, 97), Size: 40
Emotion: contempt, Estimated Intensity: 0.98, RGB: (155, 168, 97), Size: 39
Emotion: contempt, Estimated Intensity: 0.39, RGB: (155, 168, 97), Size: 14
Emotion: contempt, Estimated Intensity: 0.97, RGB: (155, 168, 97), Size: 39
