Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 0.78, RGB: (127, 127, 127), Size: 31
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 0.96, RGB: (127, 127, 127), Size: 38
Emotion: anxiety, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 39
Emotion: anxiety, Estimated Intensity: 0.79, RGB: (127, 127, 127), Size: 31
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 39
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 39
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
