Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: boredom, Estimated Intensity: 0.89, RGB: (255, 255, 255), Size: 35
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: boredom, Estimated Intensity: 0.89, RGB: (255, 255, 255), Size: 35
Emotion: boredom, Estimated Intensity: 0.88, RGB: (255, 255, 255), Size: 35
Emotion: boredom, Estimated Intensity: 0.94, RGB: (255, 255, 255), Size: 37
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: boredom, Estimated Intensity: 0.73, RGB: (255, 255, 255), Size: 29
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: boredom, Estimated Intensity: 0.86, RGB: (255, 255, 255), Size: 34
Emotion: boredom, Estimated Intensity: 0.99, RGB: (255, 255, 255), Size: 40
Emotion: boredom, Estimated Intensity: 0.91, RGB: (255, 255, 255), Size: 36
Emotion: boredom, Estimated Intensity: 0.84, RGB: (255, 255, 255), Size: 33
Emotion: boredom, Estimated Intensity: 0.94, RGB: (255, 255, 255), Size: 38
Emotion: boredom, Estimated Intensity: 0.98, RGB: (255, 255, 255), Size: 39
Emotion: disgust, Estimated Intensity: 0.96, RGB: (0, 112, 192), Size: 38
Emotion: disgust, Estimated Intensity: 0.97, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.73, RGB: (0, 112, 192), Size: 28
Emotion: disgust, Estimated Intensity: 0.89, RGB: (0, 112, 192), Size: 35
Emotion: disgust, Estimated Intensity: 0.97, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.87, RGB: (0, 112, 192), Size: 34
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 0.83, RGB: (0, 112, 192), Size: 33
Emotion: disgust, Estimated Intensity: 0.88, RGB: (0, 112, 192), Size: 35
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.97, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.67, RGB: (0, 112, 192), Size: 26
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 0.60, RGB: (0, 112, 192), Size: 23
Emotion: hot anger, Estimated Intensity: 0.97, RGB: (255, 0, 0), Size: 39
Emotion: hot anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 0.97, RGB: (255, 0, 0), Size: 39
Emotion: hot anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 0.75, RGB: (255, 0, 0), Size: 29
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: hot anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 39
Emotion: hot anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 0.65, RGB: (210, 255, 10), Size: 25
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
