Emotion: neutral, Estimated Intensity: 0.78, RGB: (30, 40, 30), Size: 31
Emotion: neutral, Estimated Intensity: 0.87, RGB: (30, 40, 30), Size: 34
Emotion: neutral, Estimated Intensity: 0.90, RGB: (30, 40, 30), Size: 36
Emotion: neutral, Estimated Intensity: 0.58, RGB: (30, 40, 30), Size: 22
Emotion: calm, Estimated Intensity: 0.75, RGB: (40, 255, 255), Size: 29
Emotion: calm, Estimated Intensity: 0.98, RGB: (40, 255, 255), Size: 39
Emotion: calm, Estimated Intensity: 0.53, RGB: (40, 255, 255), Size: 20
Emotion: calm, Estimated Intensity: 0.70, RGB: (40, 255, 255), Size: 27
Emotion: calm, Estimated Intensity: 0.97, RGB: (40, 255, 255), Size: 39
Emotion: calm, Estimated Intensity: 0.98, RGB: (40, 255, 255), Size: 39
Emotion: calm, Estimated Intensity: 0.99, RGB: (40, 255, 255), Size: 40
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 40
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: happy, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 39
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 40
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 40
Emotion: sad, Estimated Intensity: 0.95, RGB: (40, 0, 80), Size: 38
Emotion: sad, Estimated Intensity: 0.88, RGB: (40, 0, 80), Size: 35
Emotion: sad, Estimated Intensity: 0.95, RGB: (40, 0, 80), Size: 38
Emotion: sad, Estimated Intensity: 0.94, RGB: (40, 0, 80), Size: 37
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 39
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 40
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: sad, Estimated Intensity: 0.82, RGB: (40, 0, 80), Size: 32
Emotion: angry, Estimated Intensity: 0.78, RGB: (255, 0, 0), Size: 31
Emotion: angry, Estimated Intensity: 0.95, RGB: (255, 0, 0), Size: 38
Emotion: angry, Estimated Intensity: 0.84, RGB: (255, 0, 0), Size: 33
Emotion: angry, Estimated Intensity: 0.93, RGB: (255, 0, 0), Size: 37
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: fearful, Estimated Intensity: 0.78, RGB: (127, 127, 127), Size: 31
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 40
Emotion: fearful, Estimated Intensity: 0.92, RGB: (127, 127, 127), Size: 37
Emotion: fearful, Estimated Intensity: 0.90, RGB: (127, 127, 127), Size: 36
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 40
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 40
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 40
Emotion: disgust, Estimated Intensity: 0.88, RGB: (0, 112, 192), Size: 35
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 0.97, RGB: (0, 112, 192), Size: 39
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 0.84, RGB: (0, 112, 192), Size: 33
Emotion: disgust, Estimated Intensity: 0.64, RGB: (0, 112, 192), Size: 24
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 40
Emotion: surprised, Estimated Intensity: 0.95, RGB: (180, 20, 0), Size: 38
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 40
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 40
Emotion: surprised, Estimated Intensity: 0.96, RGB: (180, 20, 0), Size: 38
Emotion: surprised, Estimated Intensity: 0.97, RGB: (180, 20, 0), Size: 39
