Emotion: neutral, Estimated Intensity: 0.88, RGB: (30, 40, 30), Size: 35
Emotion: neutral, Estimated Intensity: 0.91, RGB: (30, 40, 30), Size: 36
Emotion: neutral, Estimated Intensity: 0.80, RGB: (30, 40, 30), Size: 31
Emotion: neutral, Estimated Intensity: 0.47, RGB: (30, 40, 30), Size: 17
Emotion: calm, Estimated Intensity: 0.50, RGB: (40, 255, 255), Size: 19
Emotion: calm, Estimated Intensity: 0.81, RGB: (40, 255, 255), Size: 32
Emotion: calm, Estimated Intensity: 0.95, RGB: (40, 255, 255), Size: 38
Emotion: calm, Estimated Intensity: 0.91, RGB: (40, 255, 255), Size: 36
Emotion: calm, Estimated Intensity: 0.82, RGB: (40, 255, 255), Size: 32
Emotion: calm, Estimated Intensity: 0.98, RGB: (40, 255, 255), Size: 39
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 40
Emotion: calm, Estimated Intensity: 0.98, RGB: (40, 255, 255), Size: 39
Emotion: happy, Estimated Intensity: 0.82, RGB: (210, 255, 10), Size: 32
Emotion: happy, Estimated Intensity: 0.94, RGB: (210, 255, 10), Size: 37
Emotion: happy, Estimated Intensity: 0.92, RGB: (210, 255, 10), Size: 37
Emotion: happy, Estimated Intensity: 0.37, RGB: (210, 255, 10), Size: 13
Emotion: happy, Estimated Intensity: 0.91, RGB: (210, 255, 10), Size: 36
Emotion: happy, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 39
Emotion: happy, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 39
Emotion: happy, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: sad, Estimated Intensity: 0.89, RGB: (40, 0, 80), Size: 35
Emotion: sad, Estimated Intensity: 0.65, RGB: (40, 0, 80), Size: 25
Emotion: sad, Estimated Intensity: 0.65, RGB: (40, 0, 80), Size: 25
Emotion: sad, Estimated Intensity: 0.91, RGB: (40, 0, 80), Size: 36
Emotion: sad, Estimated Intensity: 0.72, RGB: (40, 0, 80), Size: 28
Emotion: sad, Estimated Intensity: 0.69, RGB: (40, 0, 80), Size: 27
Emotion: sad, Estimated Intensity: 0.50, RGB: (40, 0, 80), Size: 18
Emotion: sad, Estimated Intensity: 0.71, RGB: (40, 0, 80), Size: 28
Emotion: angry, Estimated Intensity: 0.98, RGB: (255, 0, 0), Size: 39
Emotion: angry, Estimated Intensity: 0.71, RGB: (255, 0, 0), Size: 28
Emotion: angry, Estimated Intensity: 0.60, RGB: (255, 0, 0), Size: 23
Emotion: angry, Estimated Intensity: 0.89, RGB: (255, 0, 0), Size: 35
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
