Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 19.48987603187561
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 19.69716489315033
Emotion: neutral, Estimated Intensity: 0.90, RGB: (30, 40, 30), Size: 19.016236066818237
Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 19.539948105812073
Emotion: calm, Estimated Intensity: 0.61, RGB: (40, 255, 255), Size: 16.07944130897522
Emotion: calm, Estimated Intensity: 0.83, RGB: (40, 255, 255), Size: 18.293336629867554
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.968972206115723
Emotion: calm, Estimated Intensity: 0.97, RGB: (40, 255, 255), Size: 19.74675714969635
Emotion: calm, Estimated Intensity: 0.73, RGB: (40, 255, 255), Size: 17.302774786949158
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.978906512260437
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.995612502098083
Emotion: calm, Estimated Intensity: 0.98, RGB: (40, 255, 255), Size: 19.82284188270569
Emotion: happy, Estimated Intensity: 0.89, RGB: (210, 255, 10), Size: 18.907434940338135
Emotion: happy, Estimated Intensity: 0.82, RGB: (210, 255, 10), Size: 18.217955827713013
Emotion: happy, Estimated Intensity: 0.95, RGB: (210, 255, 10), Size: 19.485018253326416
Emotion: happy, Estimated Intensity: 0.90, RGB: (210, 255, 10), Size: 18.978201150894165
Emotion: happy, Estimated Intensity: 0.52, RGB: (210, 255, 10), Size: 15.175026059150696
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.990910291671753
Emotion: happy, Estimated Intensity: 0.91, RGB: (210, 255, 10), Size: 19.060235023498535
Emotion: happy, Estimated Intensity: 0.73, RGB: (210, 255, 10), Size: 17.289990186691284
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.918444752693176
Emotion: sad, Estimated Intensity: 0.67, RGB: (40, 0, 80), Size: 16.693183183670044
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.893333315849304
