Emotion: happiness, Statement: The tablecloth is lying on the fridge, Gender: male, Color: (187, 193, 232)
Emotion: neutral, Statement: The tablecloth is lying on the fridge, Gender: male, Color: (0, 0, 0)
Emotion: anger, Statement: The tablecloth is lying on the fridge, Gender: male, Color: (160, 204, 63)
Emotion: happiness, Statement: She wants to hand that in on Wednesday, Gender: male, Color: (187, 193, 232)
Emotion: neutral, Statement: She wants to hand that in on Wednesday, Gender: male, Color: (0, 0, 0)
Emotion: sadness, Statement: She wants to hand that in on Wednesday, Gender: male, Color: (47, 93, 86)
Emotion: anger, Statement: She wants to hand that in on Wednesday, Gender: male, Color: (160, 204, 63)
Emotion: anger, Statement: She wants to hand that in on Wednesday, Gender: male, Color: (160, 204, 63)
Emotion: anxiety/fear, Statement: I could tell him Tonight, Gender: male, Color: (73, 205, 46)
Emotion: happiness, Statement: I could tell him Tonight, Gender: male, Color: (187, 193, 232)
Emotion: boredom, Statement: I could tell him Tonight, Gender: male, Color: (86, 49, 45)
Emotion: neutral, Statement: I could tell him Tonight, Gender: male, Color: (0, 0, 0)
Emotion: sadness, Statement: I could tell him Tonight, Gender: male, Color: (47, 93, 86)
Emotion: anger, Statement: I could tell him Tonight, Gender: male, Color: (160, 204, 63)
Emotion: anxiety/fear, Statement: The black piece of paper is up there next to the piece of wood, Gender: male, Color: (73, 205, 46)
Emotion: happiness, Statement: The black piece of paper is up there next to the piece of wood, Gender: male, Color: (187, 193, 232)
Emotion: neutral, Statement: The black piece of paper is up there next to the piece of wood, Gender: male, Color: (0, 0, 0)
Emotion: sadness, Statement: The black piece of paper is up there next to the piece of wood, Gender: male, Color: (47, 93, 86)
Emotion: anger, Statement: The black piece of paper is up there next to the piece of wood, Gender: male, Color: (160, 204, 63)
Emotion: anger, Statement: The black piece of paper is up there next to the piece of wood, Gender: male, Color: (160, 204, 63)
Emotion: happiness, Statement: It will be ready in seven hours, Gender: male, Color: (187, 193, 232)
Emotion: happiness, Statement: It will be ready in seven hours, Gender: male, Color: (187, 193, 232)
Emotion: boredom, Statement: It will be ready in seven hours, Gender: male, Color: (86, 49, 45)
Emotion: neutral, Statement: It will be ready in seven hours, Gender: male, Color: (0, 0, 0)
Emotion: anger, Statement: It will be ready in seven hours, Gender: male, Color: (160, 204, 63)
Emotion: happiness, Statement: What kind of bags are there under the table, Gender: male, Color: (187, 193, 232)
Emotion: boredom, Statement: What kind of bags are there under the table, Gender: male, Color: (86, 49, 45)
Emotion: neutral, Statement: What kind of bags are there under the table, Gender: male, Color: (0, 0, 0)
Emotion: sadness, Statement: What kind of bags are there under the table, Gender: male, Color: (47, 93, 86)
Emotion: anger, Statement: What kind of bags are there under the table, Gender: male, Color: (160, 204, 63)
Emotion: anger, Statement: What kind of bags are there under the table, Gender: male, Color: (160, 204, 63)
Emotion: anxiety/fear, Statement: They just carried it up and now they're going down again, Gender: male, Color: (73, 205, 46)
Emotion: boredom, Statement: They just carried it up and now they're going down again, Gender: male, Color: (86, 49, 45)
Emotion: neutral, Statement: They just carried it up and now they're going down again, Gender: male, Color: (0, 0, 0)
