,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Ab.wav,anxiety/fear,The tablecloth is lying on the fridge,female,"[-316.0348205566406, 155.47305297851562, -27.614255905151367, 4.640162467956543, 34.69087600708008, -17.32069206237793, -6.281042575836182, 23.494245529174805, 0.5302209854125977, -5.292178153991699, 6.031022548675537, -1.9814316034317017, 0.5008059144020081, 1.399646282196045, -14.0023193359375, -5.860200881958008, 9.152215003967285, -3.1820907592773438, -9.784689903259277, -2.3190841674804688]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Fd.wav,happiness,The tablecloth is lying on the fridge,female,"[-305.4533996582031, 130.24954223632812, -15.781486511230469, 7.122297286987305, 34.62224578857422, -0.0078718401491642, 5.7524638175964355, 19.61609649658203, -0.09623859822750092, 2.0966877937316895, 11.671245574951172, -0.999795138835907, 1.8097472190856934, 9.449687957763672, -3.706637144088745, -3.261627197265625, 8.920141220092773, 1.9374324083328247, -3.756718873977661, 2.2972357273101807]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Lc.wav,boredom,The tablecloth is lying on the fridge,female,"[-338.5582580566406, 132.0443878173828, 4.28591251373291, 12.844085693359375, 30.090980529785156, -2.9314157962799072, -0.9503512978553772, 15.343107223510742, 1.7553871870040894, -0.3074210584163666, 9.430213928222656, 3.050126552581787, 0.3450371325016022, 1.1057976484298706, -8.812796592712402, -7.249563217163086, 4.713249206542969, 2.1194140911102295, -4.4468889236450195, -2.9181711673736572]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Na.wav,neutral,The tablecloth is lying on the fridge,female,"[-342.9320068359375, 141.723876953125, -6.3228936195373535, 16.29913902282715, 40.64665985107422, -0.24990200996398926, 3.525163412094116, 20.711040496826172, 2.0904881954193115, 2.4030842781066895, 13.274287223815918, 2.726879358291626, 1.7019191980361938, 4.0336222648620605, -8.123579025268555, -4.094857215881348, 8.780143737792969, 2.0959770679473877, -3.356473922729492, -0.005615877918899059]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Wa.wav,anger,The tablecloth is lying on the fridge,female,"[-374.43353271484375, 147.68482971191406, -49.764713287353516, -9.813189506530762, 32.910919189453125, -18.094446182250977, -10.589422225952148, 16.907455444335938, -6.677981853485107, -9.446390151977539, 3.875641345977783, -7.411770343780518, -5.6338276863098145, 1.357629418373108, -10.584627151489258, -6.646805286407471, 4.526149749755859, -5.957381248474121, -9.920137405395508, -2.0983283519744873]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Wc.wav,anger,The tablecloth is lying on the fridge,female,"[-304.42333984375, 157.68698120117188, -58.3909797668457, -18.637466430664062, 28.249244689941406, -21.780860900878906, -12.304183959960938, 12.880727767944336, -13.891850471496582, -12.036060333251953, 5.308920860290527, -8.516983985900879, -7.606377601623535, 1.2780293226242065, -10.686606407165527, -6.946884632110596, 4.676750183105469, -6.363606929779053, -11.165657997131348, -4.3153204917907715]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Ab.wav,anxiety/fear,She wants to hand that in on Wednesday,female,"[-294.4937744140625, 132.74000549316406, -19.827144622802734, 1.4771015644073486, 30.155460357666016, -2.5812296867370605, 3.273158073425293, 15.092114448547363, -4.3726396560668945, -1.9605439901351929, 5.439360618591309, -4.9796833992004395, 1.1983617544174194, 4.923139572143555, -10.078120231628418, -4.773365497589111, 7.290538787841797, -2.807366132736206, -7.249156951904297, -2.787722110748291]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Ac.wav,anxiety/fear,She wants to hand that in on Wednesday,female,"[-351.6708068847656, 140.3854217529297, -39.68986511230469, 1.4003345966339111, 39.44621658325195, -5.172580718994141, 4.078953742980957, 19.52505874633789, -6.158628463745117, 0.921866774559021, 13.810076713562012, -1.5521326065063477, 3.988027811050415, 9.21131706237793, -8.619626998901367, -1.3069735765457153, 13.070487976074219, -0.7793325185775757, -5.204690456390381, 1.8115276098251343]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Fe.wav,happiness,She wants to hand that in on Wednesday,female,"[-328.5998229980469, 147.16650390625, -10.776909828186035, 7.528905868530273, 36.3671760559082, 7.599623203277588, 14.781393051147461, 20.72258949279785, -1.6383506059646606, 4.977273941040039, 12.4734468460083, -3.0470218658447266, 2.3893046379089355, 8.43899154663086, -7.599185466766357, -4.9631547927856445, 6.812422752380371, -1.5540945529937744, -4.643615245819092, 0.026543116196990013]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a02La.wav,boredom,She wants to hand that in on Wednesday,female,"[-303.4793701171875, 162.87442016601562, -10.410927772521973, 13.980387687683105, 39.822940826416016, -2.9573802947998047, 8.150629997253418, 24.092695236206055, -4.439264297485352, -2.921980619430542, 12.506422996520996, 0.6630353927612305, 0.1533212512731552, 2.424659252166748, -12.122757911682129, -6.425815105438232, 7.589565753936768, -1.5279390811920166, -6.824224948883057, -2.5901215076446533]"
