,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\03a01Fa.wav,happiness,The tablecloth is lying on the fridge,male,"[-357.2001953125, 157.04237365722656, -17.49957275390625, 3.8634042739868164, 36.43180847167969, -2.898667812347412, 3.555572748184204, 22.89597511291504, 0.6610642075538635, 0.3791429400444031, 13.156584739685059, -1.8123713731765747, -5.068249702453613, 4.144026279449463, -5.105471611022949, -7.115016937255859, 2.692837715148926, -0.00989849679172039, -1.1221638917922974, 2.365701198577881]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a01Nc.wav,neutral,The tablecloth is lying on the fridge,male,"[-352.1091613769531, 164.15499877929688, 5.193716049194336, 2.1270101070404053, 29.980655670166016, 7.332603931427002, 6.138122081756592, 14.081562042236328, 0.7253372073173523, 5.7255353927612305, 14.8275146484375, -0.49935877323150635, -3.832965612411499, 6.261633396148682, -2.1531174182891846, -10.494412422180176, -4.352860450744629, -0.9927438497543335, 2.0989596843719482, 5.694101333618164]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a01Wa.wav,anger,The tablecloth is lying on the fridge,male,"[-303.6724853515625, 151.5675048828125, -28.290075302124023, -13.606889724731445, 24.262901306152344, -6.399994850158691, -3.4730520248413086, 11.293785095214844, -4.815836429595947, -0.19007433950901031, 10.766310691833496, -3.4932901859283447, -4.673943042755127, 3.0246944427490234, -6.584780216217041, -7.328497409820557, 1.110964298248291, -3.153036117553711, -4.20586633682251, -0.5574537515640259]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Fc.wav,happiness,She wants to hand that in on Wednesday,male,"[-328.95477294921875, 142.46453857421875, -25.660297393798828, 4.83662748336792, 33.224395751953125, -9.533797264099121, 1.9521695375442505, 19.320026397705078, -5.402585506439209, -0.5661461353302002, 11.544601440429688, -5.069494247436523, -1.3969707489013672, 8.508683204650879, -7.513862609863281, -10.04486083984375, 0.6183990240097046, -3.5476841926574707, -3.4646780490875244, -1.2493642568588257]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Nc.wav,neutral,She wants to hand that in on Wednesday,male,"[-327.764404296875, 162.62664794921875, -0.6324453949928284, 4.466502666473389, 35.935585021972656, 10.492573738098145, 10.364299774169922, 18.586475372314453, 2.219494342803955, 6.710578441619873, 16.50421142578125, 1.1436097621917725, -2.256758689880371, 6.354905128479004, -1.6646308898925781, -6.841042518615723, -2.374901294708252, -3.5763168334960938, 0.1954885721206665, 4.969795227050781]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Ta.wav,sadness,She wants to hand that in on Wednesday,male,"[-336.4587707519531, 167.11631774902344, -17.773250579833984, 10.053085327148438, 47.2135009765625, 4.2786407470703125, 6.003458499908447, 21.644393920898438, 1.773695468902588, 4.521091461181641, 13.690536499023438, 1.1972659826278687, 4.943840980529785, 8.739580154418945, -5.656899929046631, -2.0454299449920654, 4.702600955963135, -6.412513256072998, -1.5736552476882935, 9.265762329101562]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Wb.wav,anger,She wants to hand that in on Wednesday,male,"[-318.14996337890625, 160.406494140625, -46.89494705200195, -4.646125316619873, 38.791934967041016, -8.820296287536621, 3.7779276371002197, 22.048927307128906, -9.432543754577637, -2.6814920902252197, 16.1184024810791, -0.19297932088375092, 2.027069091796875, 9.73630142211914, -7.905881404876709, -7.820413589477539, 2.0403246879577637, -7.084576606750488, -6.078704833984375, -0.2720378041267395]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Wc.wav,anger,She wants to hand that in on Wednesday,male,"[-335.948974609375, 150.67611694335938, -32.26380920410156, -14.425980567932129, 24.488109588623047, -7.448482036590576, -2.6200289726257324, 13.520419120788574, -5.008326530456543, -3.4102747440338135, 6.940439701080322, -3.6837832927703857, 0.3765702545642853, 8.273452758789062, -6.47878360748291, -12.508413314819336, -6.2333083152771, -8.123019218444824, -5.235315322875977, -1.2015019655227661]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Ad.wav,anxiety/fear,I could tell him Tonight,male,"[-294.7115478515625, 165.0537567138672, -40.23854446411133, 1.2351621389389038, 37.52760696411133, -17.074356079101562, -2.529527187347412, 21.836381912231445, -8.978867530822754, -5.0511369705200195, 12.963135719299316, -3.2199652194976807, -1.2202600240707397, 6.615200996398926, -10.856022834777832, -8.750609397888184, 5.031231880187988, -3.5403084754943848, -5.0916290283203125, 0.7157430648803711]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Fd.wav,happiness,I could tell him Tonight,male,"[-345.78570556640625, 135.751708984375, -9.236715316772461, 0.7113897204399109, 24.531879425048828, -4.907211780548096, -0.19491919875144958, 13.95890998840332, -1.7792412042617798, -1.197904348373413, 7.53574275970459, -2.236936092376709, -2.3359203338623047, 2.516188383102417, -5.939370155334473, -5.166264533996582, 1.54297935962677, -2.683256149291992, -1.399897813796997, 2.6057770252227783]"
