Emotion: anxiety, Statement: eight hundred eight, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: eight hundred eight, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: four thousand eight, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: nine thousand six, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: nine thousand six, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: six thousand twelve, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: six thousand twelve, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: three thousand eight, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: three thousand eight, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: anxiety, Statement: may twenty-third, Gender: male, Situation: conversation, Color: (73, 205, 46)
Emotion: boredom, Statement: april fifteenth, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: april fifteenth, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: eight thousand six, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: eight thousand six, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: five thousand twelve, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: nine hundred four, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: nine hundred four, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: october sixth, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: six hundred six, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: six hundred six, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: thirteen hundred, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: two hundred one, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: two hundred one, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: march twenty-sixth, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: boredom, Statement: march twenty-sixth, Gender: male, Situation: conversation, Color: (86, 49, 45)
Emotion: cold anger, Statement: december eighth, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: december eighth, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: december eighth, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: eight hundred four, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: five hundred six, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: four thousand four, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: nine thousand three, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: november fifth, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: sixteen hundred, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: three thousand four, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: three thousand four, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: june twenty-ninth, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: june twenty-ninth, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: seventy-five, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: cold anger, Statement: seventy-five, Gender: male, Situation: conversation, Color: (172, 214, 73)
Emotion: contempt, Statement: april nineteenth, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: april nineteenth, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: eight thousand three, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: eight thousand three, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: july second, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: july second, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: july second, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: may eleventh, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: may eleventh, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: nine hundred one, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: nine hundred one, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: october third, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: october third, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: one thousand eight, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: one thousand eight, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: six hundred three, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: six hundred three, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: two hundred ten, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: forty-seven, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: forty-seven, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: forty-seven, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: thirty-seven, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: contempt, Statement: thirty-seven, Gender: male, Situation: conversation, Color: (155, 168, 97)
Emotion: disgust, Statement: april second, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: april second, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: april second, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: april second, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: april second, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: april second, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: eight thousand twelve, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: eight thousand twelve, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: eight thousand twelve, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: eight thousand twelve, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: four hundred eight, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: four hundred eight, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: four hundred eight, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: may seventeenth, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: may seventeenth, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: may seventeenth, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: nine hundred six, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: nine hundred six, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: nine hundred six, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: october twelfth, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: october twelfth, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: october twelfth, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: one thousand five, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: one thousand five, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: six hundred twelve, Gender: male, Situation: conversation, Color: (142, 173, 51)
Emotion: disgust, Statement: three hundred eight, Gender: male, Situation: conversation, Color: (142, 173, 51)
