,emotion,statements,situation,gender
datasources\LDC\wav\1AX1s0020.wav,anxiety,eight hundred eight,conversation,male
datasources\LDC\wav\1AX1s0021.wav,anxiety,eight hundred eight,conversation,male
datasources\LDC\wav\1AX1s0040.wav,anxiety,four thousand eight,conversation,male
datasources\LDC\wav\1AX1s0060.wav,anxiety,nine thousand six,conversation,male
datasources\LDC\wav\1AX1s0061.wav,anxiety,nine thousand six,conversation,male
datasources\LDC\wav\1AX1s0080.wav,anxiety,six thousand twelve,conversation,male
datasources\LDC\wav\1AX1s0081.wav,anxiety,six thousand twelve,conversation,male
datasources\LDC\wav\1AX1s0090.wav,anxiety,three thousand eight,conversation,male
datasources\LDC\wav\1AX1s0091.wav,anxiety,three thousand eight,conversation,male
datasources\LDC\wav\1AX1s3450.wav,anxiety,may twenty-third,conversation,male
datasources\LDC\wav\1BD1s0100.wav,boredom,april fifteenth,conversation,male
datasources\LDC\wav\1BD1s0101.wav,boredom,april fifteenth,conversation,male
datasources\LDC\wav\1BD1s0110.wav,boredom,eight thousand six,conversation,male
datasources\LDC\wav\1BD1s0111.wav,boredom,eight thousand six,conversation,male
datasources\LDC\wav\1BD1s0120.wav,boredom,five thousand twelve,conversation,male
datasources\LDC\wav\1BD1s0150.wav,boredom,nine hundred four,conversation,male
datasources\LDC\wav\1BD1s0151.wav,boredom,nine hundred four,conversation,male
datasources\LDC\wav\1BD1s0160.wav,boredom,october sixth,conversation,male
datasources\LDC\wav\1BD1s0180.wav,boredom,six hundred six,conversation,male
datasources\LDC\wav\1BD1s0181.wav,boredom,six hundred six,conversation,male
datasources\LDC\wav\1BD1s0190.wav,boredom,thirteen hundred,conversation,male
datasources\LDC\wav\1BD1s0200.wav,boredom,two hundred one,conversation,male
datasources\LDC\wav\1BD1s0201.wav,boredom,two hundred one,conversation,male
datasources\LDC\wav\1BD1s3360.wav,boredom,march twenty-sixth,conversation,male
datasources\LDC\wav\1BD1s3361.wav,boredom,march twenty-sixth,conversation,male
datasources\LDC\wav\1CA1s0210.wav,cold anger,december eighth,conversation,male
datasources\LDC\wav\1CA1s0211.wav,cold anger,december eighth,conversation,male
datasources\LDC\wav\1CA1s0212.wav,cold anger,december eighth,conversation,male
datasources\LDC\wav\1CA1s0220.wav,cold anger,eight hundred four,conversation,male
datasources\LDC\wav\1CA1s0230.wav,cold anger,five hundred six,conversation,male
datasources\LDC\wav\1CA1s0240.wav,cold anger,four thousand four,conversation,male
datasources\LDC\wav\1CA1s0260.wav,cold anger,nine thousand three,conversation,male
datasources\LDC\wav\1CA1s0270.wav,cold anger,november fifth,conversation,male
datasources\LDC\wav\1CA1s0290.wav,cold anger,sixteen hundred,conversation,male
datasources\LDC\wav\1CA1s0300.wav,cold anger,three thousand four,conversation,male
datasources\LDC\wav\1CA1s0301.wav,cold anger,three thousand four,conversation,male
