,emotion,statements,situation,gender,mfcc
datasources\LDC\wav\1AX1s0020.wav,anxiety,eight hundred eight,conversation,male,"[-371.1413269042969, 162.04989624023438, -11.956403732299805, 39.57581329345703, 36.31242370605469, 6.6832661628723145, 24.048057556152344, 16.722890853881836, 12.510403633117676, 3.3844759464263916, -0.9769936800003052, 11.41844367980957, -5.080620288848877, -5.613344669342041, 10.146928787231445, -2.3414132595062256, -2.3042547702789307, 3.075011968612671, -0.6150508522987366, 4.004049301147461]"
datasources\LDC\wav\1AX1s0021.wav,anxiety,eight hundred eight,conversation,male,"[-357.18603515625, 166.07489013671875, -19.389995574951172, 36.40304946899414, 33.7546501159668, 7.901090621948242, 28.572521209716797, 11.366706848144531, 7.565184116363525, 9.142255783081055, -1.2936471700668335, 4.560194492340088, -2.893531560897827, -1.3560686111450195, 6.442756652832031, -6.118039608001709, -0.8553615808486938, 5.095820426940918, -1.9768486022949219, -0.3585573136806488]"
datasources\LDC\wav\1AX1s0040.wav,anxiety,four thousand eight,conversation,male,"[-300.4651794433594, 158.61708068847656, -25.922304153442383, 51.33552551269531, 34.05923080444336, -6.267167568206787, 24.498414993286133, 8.21702766418457, 1.2755439281463623, 4.944278240203857, -2.8711681365966797, 7.758661270141602, -0.5130439400672913, -1.091361403465271, 7.613453388214111, -8.728536605834961, -2.1572234630584717, 9.056818962097168, -0.7192028164863586, 1.6060333251953125]"
datasources\LDC\wav\1AX1s0060.wav,anxiety,nine thousand six,conversation,male,"[-351.395751953125, 170.86643981933594, -46.26512908935547, 54.442237854003906, 29.24676513671875, -13.484273910522461, 26.162662506103516, 1.5392677783966064, 7.45353889465332, 19.72025489807129, -4.957678318023682, 2.989699363708496, -0.04732244089245796, -2.229689598083496, 7.015024662017822, -6.308408260345459, 1.4628064632415771, 9.896954536437988, 0.6253668665885925, 3.034233331680298]"
datasources\LDC\wav\1AX1s0061.wav,anxiety,nine thousand six,conversation,male,"[-377.6392517089844, 170.1129150390625, -41.83716583251953, 47.94152069091797, 37.035709381103516, -16.226945877075195, 14.897788047790527, 5.882959365844727, 6.075722694396973, 16.7523193359375, -1.2880815267562866, 0.6280161738395691, 0.8272892236709595, 0.026964381337165833, 3.949509382247925, -7.1495256423950195, 0.5108382105827332, 9.389155387878418, 1.7433412075042725, 4.090139389038086]"
datasources\LDC\wav\1AX1s0080.wav,anxiety,six thousand twelve,conversation,male,"[-294.4478759765625, 154.14138793945312, -46.286094665527344, 50.00900650024414, 22.736927032470703, -13.138927459716797, 22.901071548461914, -5.312894821166992, 4.660329818725586, 11.416080474853516, -14.147014617919922, 8.513228416442871, 6.456557273864746, -4.968642234802246, 7.642667293548584, -4.258661270141602, -1.7931967973709106, 6.917075157165527, -0.04894402623176575, 4.3913116455078125]"
datasources\LDC\wav\1AX1s0081.wav,anxiety,six thousand twelve,conversation,male,"[-331.3017883300781, 159.42080688476562, -27.612693786621094, 49.872314453125, 34.367671966552734, -15.090996742248535, 13.429582595825195, 2.863637685775757, 0.7918883562088013, 11.230984687805176, -2.6766204833984375, 3.7629334926605225, 4.437778472900391, -1.915177345275879, 3.565990924835205, -2.5356173515319824, -1.5373121500015259, 5.05851411819458, 2.5969581604003906, 2.2596933841705322]"
datasources\LDC\wav\1AX1s0090.wav,anxiety,three thousand eight,conversation,male,"[-345.6961669921875, 158.19235229492188, -24.14704132080078, 49.873268127441406, 22.3734073638916, 3.0612406730651855, 46.73823165893555, 14.15871810913086, -0.05260251462459564, -0.019381729885935783, -5.798096656799316, 11.304059028625488, -6.369340896606445, -7.802687168121338, 11.25959300994873, -5.617498874664307, -1.8663510084152222, 5.769777774810791, -3.3212482929229736, 4.225418567657471]"
datasources\LDC\wav\1AX1s0091.wav,anxiety,three thousand eight,conversation,male,"[-274.7348937988281, 142.4122314453125, -17.410846710205078, 36.76664733886719, 23.940345764160156, 7.534087657928467, 38.51972961425781, 8.904397010803223, -3.469365358352661, 6.327943325042725, -3.7168166637420654, 1.991943597793579, 1.4122103452682495, -1.1471835374832153, 2.4870550632476807, -5.501728534698486, -1.6391299962997437, 1.6132733821868896, -2.09218692779541, 2.1793413162231445]"
datasources\LDC\wav\1AX1s3450.wav,anxiety,may twenty-third,conversation,male,"[-364.80731201171875, 160.25633239746094, -12.374771118164062, 38.060543060302734, 31.165050506591797, 8.444321632385254, 28.113426208496094, 10.500906944274902, 12.030424118041992, 11.65903091430664, -4.560818672180176, 6.9785237312316895, 2.4223761558532715, -1.4644898176193237, 8.291304588317871, -5.2478766441345215, -5.543973445892334, 5.756889820098877, 2.9044907093048096, 2.560232400894165]"
datasources\LDC\wav\1BD1s0100.wav,boredom,april fifteenth,conversation,male,"[-630.9706420898438, 140.14483642578125, -41.35133361816406, 52.02275085449219, 12.518383026123047, -1.1709132194519043, 39.84858322143555, -4.530580997467041, 10.12219524383545, 21.03386116027832, 1.2809141874313354, 25.611093521118164, 11.40822696685791, 1.150026559829712, 8.404643058776855, -11.642361640930176, 4.6143646240234375, 12.325274467468262, -4.280796051025391, 5.6101813316345215]"
datasources\LDC\wav\1BD1s0101.wav,boredom,april fifteenth,conversation,male,"[-575.8685913085938, 155.17835998535156, -53.24814987182617, 52.91047286987305, 11.99972915649414, -0.23731829226016998, 44.2593994140625, -6.739331245422363, 12.971342086791992, 27.11603355407715, 3.5913450717926025, 25.443559646606445, 4.836336135864258, -6.751921653747559, 4.210686683654785, -10.185107231140137, 9.30370044708252, 7.774570941925049, -12.234546661376953, 4.242002964019775]"
datasources\LDC\wav\1BD1s0110.wav,boredom,eight thousand six,conversation,male,"[-546.1296997070312, 141.13116455078125, -48.74445343017578, 51.65256118774414, 14.457023620605469, -6.686408042907715, 35.0283203125, -1.9421902894973755, 13.183236122131348, 22.962114334106445, 4.30808687210083, 24.59650230407715, 7.7577996253967285, -0.6517511606216431, 6.186061382293701, -12.721799850463867, 6.365634918212891, 15.09868049621582, -3.3862972259521484, 1.3376754522323608]"
datasources\LDC\wav\1BD1s0111.wav,boredom,eight thousand six,conversation,male,"[-521.35595703125, 131.0478515625, -54.89319610595703, 56.50133514404297, 19.208574295043945, -8.779019355773926, 32.61300277709961, -2.184598445892334, 11.783379554748535, 18.52532196044922, 0.17720353603363037, 25.123517990112305, 10.084836959838867, -0.23106706142425537, 5.7733612060546875, -13.95045280456543, 3.515439510345459, 13.188332557678223, -0.6395747065544128, 4.708528518676758]"
datasources\LDC\wav\1BD1s0120.wav,boredom,five thousand twelve,conversation,male,"[-502.21771240234375, 157.0350341796875, -52.713375091552734, 61.5397834777832, 19.007755279541016, -15.765497207641602, 30.639123916625977, -1.8551714420318604, 13.696541786193848, 26.876968383789062, 8.668472290039062, 21.055404663085938, -4.009193420410156, -8.2572660446167, 9.40131664276123, -6.77279806137085, 1.8035274744033813, 1.1677175760269165, -5.1312642097473145, 12.15576457977295]"
datasources\LDC\wav\1BD1s0150.wav,boredom,nine hundred four,conversation,male,"[-516.5284423828125, 157.98483276367188, -23.268125534057617, 58.55384063720703, 12.595540046691895, -9.595366477966309, 35.6573486328125, 3.7315473556518555, 19.432491302490234, 33.005130767822266, 7.622812271118164, 10.588560104370117, -9.869729995727539, -5.684172630310059, 12.996593475341797, -14.092864990234375, -8.825174331665039, 6.248506546020508, -1.3622194528579712, 4.366033554077148]"
datasources\LDC\wav\1BD1s0151.wav,boredom,nine hundred four,conversation,male,"[-513.3759765625, 148.39578247070312, -21.690940856933594, 55.43288040161133, 13.651132583618164, -11.559901237487793, 29.909238815307617, 3.5438220500946045, 17.296775817871094, 32.411075592041016, 11.681557655334473, 11.768436431884766, -8.818659782409668, -7.967392444610596, 9.48138427734375, -8.453813552856445, -5.6481404304504395, 1.829872965812683, -1.1522959470748901, 6.414013385772705]"
datasources\LDC\wav\1BD1s0160.wav,boredom,october sixth,conversation,male,"[-511.2390441894531, 147.0127716064453, -57.858009338378906, 54.357269287109375, 15.193005561828613, -6.3952531814575195, 34.291290283203125, -10.439273834228516, 7.398519992828369, 15.244790077209473, -6.620717525482178, 21.45594024658203, 9.460949897766113, 4.478277206420898, 10.613269805908203, -17.00554847717285, -2.8647565841674805, 7.75931453704834, 0.3333418369293213, 9.947345733642578]"
datasources\LDC\wav\1BD1s0180.wav,boredom,six hundred six,conversation,male,"[-481.3628234863281, 137.87322998046875, -61.90018844604492, 52.691322326660156, 13.103412628173828, -10.966584205627441, 35.16469192504883, 7.73608922958374, 31.847732543945312, 23.846115112304688, -16.85935401916504, 5.419976711273193, -0.2747196853160858, -0.07571552693843842, 4.687808513641357, -19.616985321044922, 2.8721792697906494, 13.257338523864746, -2.7951407432556152, 7.575080871582031]"
datasources\LDC\wav\1BD1s0181.wav,boredom,six hundred six,conversation,male,"[-449.1440734863281, 144.96945190429688, -70.95399475097656, 51.572147369384766, 11.377784729003906, -9.160804748535156, 38.05962371826172, 2.5774190425872803, 27.74362564086914, 19.180686950683594, -19.94119644165039, 10.952729225158691, 1.3006105422973633, -7.2406005859375, -0.06059785187244415, -13.366811752319336, 9.436019897460938, 6.332228183746338, -4.098198890686035, 15.62297248840332]"
datasources\LDC\wav\1BD1s0190.wav,boredom,thirteen hundred,conversation,male,"[-505.3184814453125, 137.9771270751953, -22.66168975830078, 37.91364669799805, 8.361963272094727, -3.538642168045044, 35.132957458496094, 10.056669235229492, 23.390300750732422, 34.514869689941406, 5.174179553985596, 1.8984013795852661, -6.496683597564697, -1.4614771604537964, 9.42138385772705, -9.672799110412598, -5.808554172515869, 4.562994003295898, 0.09869618713855743, 2.8003976345062256]"
datasources\LDC\wav\1BD1s0200.wav,boredom,two hundred one,conversation,male,"[-506.929443359375, 141.11251831054688, -3.537844657897949, 49.792842864990234, 19.069257736206055, -4.45835018157959, 29.084775924682617, 12.842329025268555, 17.662168502807617, 23.039424896240234, 2.6700992584228516, 5.470420837402344, 0.6613913774490356, 0.8554075360298157, 6.181056976318359, -7.72986364364624, -1.228721022605896, 6.698637962341309, -0.686489462852478, 2.8041789531707764]"
datasources\LDC\wav\1BD1s0201.wav,boredom,two hundred one,conversation,male,"[-517.8922119140625, 167.65750122070312, -7.719797611236572, 48.55378341674805, 16.846040725708008, 1.4315887689590454, 38.81083297729492, 10.390419006347656, 12.427444458007812, 14.873982429504395, -1.856958031654358, 12.113883018493652, 0.04174221307039261, -2.93373966217041, 7.362147808074951, -7.469928741455078, 6.671553134918213, 11.412345886230469, -4.860875606536865, 5.217907905578613]"
datasources\LDC\wav\1BD1s3360.wav,boredom,march twenty-sixth,conversation,male,"[-541.9819946289062, 155.92828369140625, -62.37413024902344, 52.45991516113281, 13.738672256469727, -6.432814598083496, 41.52989196777344, -8.065339088439941, 5.564910411834717, 21.112537384033203, 0.09591169655323029, 26.68358612060547, 12.5271577835083, -1.7742623090744019, 5.4086785316467285, -13.703635215759277, 3.6125471591949463, 13.708224296569824, -3.5266003608703613, 1.1742641925811768]"
datasources\LDC\wav\1BD1s3361.wav,boredom,march twenty-sixth,conversation,male,"[-525.0635986328125, 133.7880859375, -44.48930358886719, 49.098751068115234, 14.893433570861816, -4.2763495445251465, 34.311859130859375, -4.993207931518555, 6.594747543334961, 17.54446029663086, -0.6412830948829651, 21.4416561126709, 10.145954132080078, -0.13848908245563507, 7.043727397918701, -9.622384071350098, 2.766181230545044, 10.924633979797363, -1.3171554803848267, 3.352043867111206]"
