situation: conversation, Emotion: anxiety, statements: august sixteenth, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: august sixteenth, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: august sixteenth, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: eight hundred eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: eight hundred eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: eight hundred eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: five hundred nine, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: five hundred nine, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: five hundred nine, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: four thousand eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: four thousand eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: four thousand eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: nine thousand six, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: nine thousand six, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: nine thousand six, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: seven hundred, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: seven hundred, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: seven hundred, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: six thousand twelve, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: six thousand twelve, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: six thousand twelve, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: three thousand eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: three thousand eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: three thousand eight, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: june twenty-first, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: june twenty-first, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: june twenty-first, Gender: female, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: may twenty-third, Gender: female, Color: (127, 127, 127)
