,emotion,statements,situation,gender
datasources\LDC_female\wav\3AX1s0010.wav,anxiety,august sixteenth,conversation,female
datasources\LDC_female\wav\3AX1s0011.wav,anxiety,august sixteenth,conversation,female
datasources\LDC_female\wav\3AX1s0012.wav,anxiety,august sixteenth,conversation,female
datasources\LDC_female\wav\3AX1s0020.wav,anxiety,eight hundred eight,conversation,female
datasources\LDC_female\wav\3AX1s0021.wav,anxiety,eight hundred eight,conversation,female
datasources\LDC_female\wav\3AX1s0022.wav,anxiety,eight hundred eight,conversation,female
datasources\LDC_female\wav\3AX1s0030.wav,anxiety,five hundred nine,conversation,female
datasources\LDC_female\wav\3AX1s0031.wav,anxiety,five hundred nine,conversation,female
datasources\LDC_female\wav\3AX1s0032.wav,anxiety,five hundred nine,conversation,female
datasources\LDC_female\wav\3AX1s0040.wav,anxiety,four thousand eight,conversation,female
datasources\LDC_female\wav\3AX1s0041.wav,anxiety,four thousand eight,conversation,female
datasources\LDC_female\wav\3AX1s0042.wav,anxiety,four thousand eight,conversation,female
datasources\LDC_female\wav\3AX1s0060.wav,anxiety,nine thousand six,conversation,female
datasources\LDC_female\wav\3AX1s0061.wav,anxiety,nine thousand six,conversation,female
datasources\LDC_female\wav\3AX1s0062.wav,anxiety,nine thousand six,conversation,female
datasources\LDC_female\wav\3AX1s0070.wav,anxiety,seven hundred,conversation,female
datasources\LDC_female\wav\3AX1s0071.wav,anxiety,seven hundred,conversation,female
datasources\LDC_female\wav\3AX1s0072.wav,anxiety,seven hundred,conversation,female
datasources\LDC_female\wav\3AX1s0080.wav,anxiety,six thousand twelve,conversation,female
datasources\LDC_female\wav\3AX1s0081.wav,anxiety,six thousand twelve,conversation,female
datasources\LDC_female\wav\3AX1s0082.wav,anxiety,six thousand twelve,conversation,female
datasources\LDC_female\wav\3AX1s0090.wav,anxiety,three thousand eight,conversation,female
datasources\LDC_female\wav\3AX1s0091.wav,anxiety,three thousand eight,conversation,female
datasources\LDC_female\wav\3AX1s0092.wav,anxiety,three thousand eight,conversation,female
datasources\LDC_female\wav\3AX1s3250.wav,anxiety,june twenty-first,conversation,female
datasources\LDC_female\wav\3AX1s3251.wav,anxiety,june twenty-first,conversation,female
datasources\LDC_female\wav\3AX1s3252.wav,anxiety,june twenty-first,conversation,female
datasources\LDC_female\wav\3AX1s3450.wav,anxiety,may twenty-third,conversation,female
datasources\LDC_female\wav\3AX1s3451.wav,anxiety,may twenty-third,conversation,female
datasources\LDC_female\wav\3AX1s3452.wav,anxiety,may twenty-third,conversation,female
datasources\LDC_female\wav\3BD1s0100.wav,boredom,april fifteenth,conversation,female
datasources\LDC_female\wav\3BD1s0101.wav,boredom,april fifteenth,conversation,female
datasources\LDC_female\wav\3BD1s0110.wav,boredom,eight thousand six,conversation,female
datasources\LDC_female\wav\3BD1s0111.wav,boredom,eight thousand six,conversation,female
datasources\LDC_female\wav\3BD1s0112.wav,boredom,eight thousand six,conversation,female
datasources\LDC_female\wav\3BD1s0120.wav,boredom,five thousand twelve,conversation,female
datasources\LDC_female\wav\3BD1s0121.wav,boredom,five thousand twelve,conversation,female
datasources\LDC_female\wav\3BD1s0122.wav,boredom,five thousand twelve,conversation,female
datasources\LDC_female\wav\3BD1s0130.wav,boredom,july fourteenth,conversation,female
datasources\LDC_female\wav\3BD1s0131.wav,boredom,july fourteenth,conversation,female
datasources\LDC_female\wav\3BD1s0150.wav,boredom,nine hundred four,conversation,female
datasources\LDC_female\wav\3BD1s0151.wav,boredom,nine hundred four,conversation,female
datasources\LDC_female\wav\3BD1s0152.wav,boredom,nine hundred four,conversation,female
datasources\LDC_female\wav\3BD1s0160.wav,boredom,october sixth,conversation,female
datasources\LDC_female\wav\3BD1s0161.wav,boredom,october sixth,conversation,female
datasources\LDC_female\wav\3BD1s0162.wav,boredom,october sixth,conversation,female
datasources\LDC_female\wav\3BD1s0170.wav,boredom,one hundred twelve,conversation,female
datasources\LDC_female\wav\3BD1s0171.wav,boredom,one hundred twelve,conversation,female
datasources\LDC_female\wav\3BD1s0172.wav,boredom,one hundred twelve,conversation,female
datasources\LDC_female\wav\3BD1s0180.wav,boredom,six hundred six,conversation,female
datasources\LDC_female\wav\3BD1s0181.wav,boredom,six hundred six,conversation,female
datasources\LDC_female\wav\3BD1s0182.wav,boredom,six hundred six,conversation,female
datasources\LDC_female\wav\3BD1s0190.wav,boredom,thirteen hundred,conversation,female
datasources\LDC_female\wav\3BD1s0191.wav,boredom,thirteen hundred,conversation,female
datasources\LDC_female\wav\3BD1s0192.wav,boredom,thirteen hundred,conversation,female
datasources\LDC_female\wav\3BD1s0200.wav,boredom,two hundred one,conversation,female
datasources\LDC_female\wav\3BD1s0201.wav,boredom,two hundred one,conversation,female
datasources\LDC_female\wav\3BD1s3360.wav,boredom,march twenty-sixth,conversation,female
datasources\LDC_female\wav\3BD1s3361.wav,boredom,march twenty-sixth,conversation,female
datasources\LDC_female\wav\3BD1s3362.wav,boredom,march twenty-sixth,conversation,female
datasources\LDC_female\wav\3DG1s0420.wav,disgust,april second,conversation,female
datasources\LDC_female\wav\3DG1s0421.wav,disgust,april second,conversation,female
datasources\LDC_female\wav\3DG1s0422.wav,disgust,april second,conversation,female
datasources\LDC_female\wav\3DG1s0423.wav,disgust,april second,conversation,female
datasources\LDC_female\wav\3DG1s0430.wav,disgust,eight thousand twelve,conversation,female
datasources\LDC_female\wav\3DG1s0431.wav,disgust,eight thousand twelve,conversation,female
datasources\LDC_female\wav\3DG1s0432.wav,disgust,eight thousand twelve,conversation,female
datasources\LDC_female\wav\3DG1s0433.wav,disgust,eight thousand twelve,conversation,female
datasources\LDC_female\wav\3DG1s0434.wav,disgust,eight thousand twelve,conversation,female
datasources\LDC_female\wav\3DG1s0440.wav,disgust,four hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0441.wav,disgust,four hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0442.wav,disgust,four hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0443.wav,disgust,four hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0450.wav,disgust,july seventh,conversation,female
datasources\LDC_female\wav\3DG1s0451.wav,disgust,july seventh,conversation,female
datasources\LDC_female\wav\3DG1s0452.wav,disgust,july seventh,conversation,female
datasources\LDC_female\wav\3DG1s0453.wav,disgust,july seventh,conversation,female
datasources\LDC_female\wav\3DG1s0460.wav,disgust,may seventeenth,conversation,female
datasources\LDC_female\wav\3DG1s0461.wav,disgust,may seventeenth,conversation,female
