,emotion,statements,situation,gender,mfcc
datasources\LDC_female\wav\3AX1s0010.wav,anxiety,august sixteenth,conversation,female,"[-503.8642578125, 135.33493041992188, -92.04029846191406, 77.8440170288086, 24.431983947753906, -13.877081871032715, 48.3001594543457, -9.202919006347656, 3.4761946201324463, 21.295047760009766, -11.653517723083496, 12.853323936462402, 1.7733021974563599, -5.862268447875977, 14.522383689880371, -0.5775122046470642, 5.2500128746032715, 2.6370089054107666, -8.566752433776855, 7.957459926605225]"
datasources\LDC_female\wav\3AX1s0011.wav,anxiety,august sixteenth,conversation,female,"[-481.15826416015625, 104.07099914550781, -70.79130554199219, 74.37845611572266, 26.128305435180664, -8.46660327911377, 45.729312896728516, -5.910891056060791, -0.6966760158538818, 18.182939529418945, -7.656952857971191, 11.198397636413574, 2.6554598808288574, -5.7814531326293945, 11.465468406677246, 0.540235161781311, 3.720050811767578, 1.4313677549362183, -8.70287799835205, 3.6702780723571777]"
datasources\LDC_female\wav\3AX1s0012.wav,anxiety,august sixteenth,conversation,female,"[-488.1545104980469, 118.0029296875, -76.59385681152344, 73.88933563232422, 24.48252296447754, -9.183572769165039, 47.55491256713867, -6.649777889251709, 2.0891807079315186, 19.931385040283203, -10.272587776184082, 11.07973861694336, 2.0283260345458984, -7.635041236877441, 11.70238971710205, 1.341352939605713, 4.547684669494629, 1.4920786619186401, -7.903385162353516, 6.463006019592285]"
datasources\LDC_female\wav\3AX1s0020.wav,anxiety,eight hundred eight,conversation,female,"[-488.0827331542969, 143.65826416015625, -77.69522857666016, 56.19502639770508, 28.83196258544922, -2.7947559356689453, 45.4846076965332, -2.5700814723968506, 3.3144054412841797, 21.41375732421875, -9.147477149963379, 2.5883560180664062, -2.9595398902893066, -6.881038665771484, 8.785758972167969, -4.425341606140137, -1.3509942293167114, -0.27826762199401855, -7.487120628356934, 4.380403995513916]"
datasources\LDC_female\wav\3AX1s0021.wav,anxiety,eight hundred eight,conversation,female,"[-490.9659729003906, 123.34146118164062, -65.8265151977539, 47.833309173583984, 28.3317928314209, 1.9188789129257202, 41.62339401245117, -2.540358543395996, 2.01800799369812, 22.561128616333008, -3.7405951023101807, 5.01434850692749, -0.015868019312620163, -7.0315117835998535, 9.148067474365234, -0.6860203146934509, -2.8526833057403564, -0.5268285274505615, -5.2043633460998535, 4.905290126800537]"
datasources\LDC_female\wav\3AX1s0022.wav,anxiety,eight hundred eight,conversation,female,"[-474.15093994140625, 120.32775115966797, -68.4588851928711, 50.601829528808594, 30.80747413635254, 3.5640017986297607, 40.109161376953125, -5.292346000671387, 2.5803463459014893, 20.58696174621582, -6.618756294250488, 4.892348289489746, -2.470484972000122, -9.472037315368652, 9.092735290527344, -0.9045834541320801, -2.3798084259033203, -0.20250201225280762, -6.0488409996032715, 3.439370632171631]"
datasources\LDC_female\wav\3AX1s0030.wav,anxiety,five hundred nine,conversation,female,"[-467.8628845214844, 160.29209899902344, -63.76969909667969, 60.07117462158203, 14.650586128234863, -14.790937423706055, 42.33833312988281, -11.41712474822998, -1.2902277708053589, 28.549436569213867, -7.19122314453125, -2.1479732990264893, -2.742257595062256, -4.736301422119141, 8.459688186645508, -2.09283185005188, 3.0925323963165283, 0.5895056128501892, -7.907266139984131, 4.840182304382324]"
datasources\LDC_female\wav\3AX1s0031.wav,anxiety,five hundred nine,conversation,female,"[-466.8678894042969, 163.16603088378906, -54.102394104003906, 55.374080657958984, 12.05530071258545, -14.105664253234863, 38.831382751464844, -11.814352035522461, -1.984228491783142, 24.9327449798584, -8.796433448791504, -1.5124591588974, -0.9198242425918579, -5.233438491821289, 5.7662882804870605, -3.0952253341674805, 3.2811403274536133, 2.2839276790618896, -6.358859539031982, 4.207610607147217]"
datasources\LDC_female\wav\3AX1s0032.wav,anxiety,five hundred nine,conversation,female,"[-446.5497741699219, 140.725830078125, -32.583770751953125, 44.82127380371094, 12.359349250793457, -8.263325691223145, 34.619075775146484, -7.027793884277344, -3.9868767261505127, 23.636049270629883, -4.421576023101807, -6.531721115112305, -2.0658204555511475, -5.030045986175537, 2.7730817794799805, 0.18522152304649353, 3.4873571395874023, 0.6261942386627197, -5.2783894538879395, 3.568908452987671]"
datasources\LDC_female\wav\3AX1s0040.wav,anxiety,four thousand eight,conversation,female,"[-471.0116882324219, 137.07752990722656, -62.96364974975586, 56.26304244995117, 23.943056106567383, -7.66348123550415, 37.15760803222656, -6.694185256958008, 1.0489476919174194, 18.20039176940918, -11.58898639678955, 2.7298200130462646, 0.6397179961204529, -5.830512046813965, 7.556058883666992, -2.794994592666626, 2.670347213745117, 3.969250202178955, -7.905352592468262, 3.247263193130493]"
