situation: conversation, Emotion: anxiety, statements: eight hundred eight, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: eight hundred eight, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: four thousand eight, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: nine thousand six, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: nine thousand six, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: six thousand twelve, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: six thousand twelve, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: three thousand eight, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: three thousand eight, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: may twenty-third, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: boredom, statements: april fifteenth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: april fifteenth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: eight thousand six, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: eight thousand six, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: five thousand twelve, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: nine hundred four, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: nine hundred four, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: october sixth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: six hundred six, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: six hundred six, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: thirteen hundred, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: two hundred one, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: two hundred one, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: march twenty-sixth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: disgust, statements: april second, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: april second, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: april second, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: april second, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: april second, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: april second, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: eight thousand twelve, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: eight thousand twelve, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: eight thousand twelve, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: eight thousand twelve, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: four hundred eight, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: four hundred eight, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: four hundred eight, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: may seventeenth, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: may seventeenth, Gender: male, Color: (0, 112, 192)
