,emotion,statements,situation,gender,mfcc
datasources\LDC_male\wav\1AX1s0020.wav,anxiety,eight hundred eight,conversation,male,"[-371.1413269042969, 162.04989624023438, -11.956403732299805, 39.57581329345703, 36.31242370605469, 6.6832661628723145, 24.048057556152344, 16.722890853881836, 12.510403633117676, 3.3844759464263916, -0.9769936800003052, 11.41844367980957, -5.080620288848877, -5.613344669342041, 10.146928787231445, -2.3414132595062256, -2.3042547702789307, 3.075011968612671, -0.6150508522987366, 4.004049301147461]"
datasources\LDC_male\wav\1AX1s0021.wav,anxiety,eight hundred eight,conversation,male,"[-357.18603515625, 166.07489013671875, -19.389995574951172, 36.40304946899414, 33.7546501159668, 7.901090621948242, 28.572521209716797, 11.366706848144531, 7.565184116363525, 9.142255783081055, -1.2936471700668335, 4.560194492340088, -2.893531560897827, -1.3560686111450195, 6.442756652832031, -6.118039608001709, -0.8553615808486938, 5.095820426940918, -1.9768486022949219, -0.3585573136806488]"
datasources\LDC_male\wav\1AX1s0040.wav,anxiety,four thousand eight,conversation,male,"[-300.4651794433594, 158.61708068847656, -25.922304153442383, 51.33552551269531, 34.05923080444336, -6.267167568206787, 24.498414993286133, 8.21702766418457, 1.2755439281463623, 4.944278240203857, -2.8711681365966797, 7.758661270141602, -0.5130439400672913, -1.091361403465271, 7.613453388214111, -8.728536605834961, -2.1572234630584717, 9.056818962097168, -0.7192028164863586, 1.6060333251953125]"
datasources\LDC_male\wav\1AX1s0060.wav,anxiety,nine thousand six,conversation,male,"[-351.395751953125, 170.86643981933594, -46.26512908935547, 54.442237854003906, 29.24676513671875, -13.484273910522461, 26.162662506103516, 1.5392677783966064, 7.45353889465332, 19.72025489807129, -4.957678318023682, 2.989699363708496, -0.04732244089245796, -2.229689598083496, 7.015024662017822, -6.308408260345459, 1.4628064632415771, 9.896954536437988, 0.6253668665885925, 3.034233331680298]"
datasources\LDC_male\wav\1AX1s0061.wav,anxiety,nine thousand six,conversation,male,"[-377.6392517089844, 170.1129150390625, -41.83716583251953, 47.94152069091797, 37.035709381103516, -16.226945877075195, 14.897788047790527, 5.882959365844727, 6.075722694396973, 16.7523193359375, -1.2880815267562866, 0.6280161738395691, 0.8272892236709595, 0.026964381337165833, 3.949509382247925, -7.1495256423950195, 0.5108382105827332, 9.389155387878418, 1.7433412075042725, 4.090139389038086]"
datasources\LDC_male\wav\1AX1s0080.wav,anxiety,six thousand twelve,conversation,male,"[-294.4478759765625, 154.14138793945312, -46.286094665527344, 50.00900650024414, 22.736927032470703, -13.138927459716797, 22.901071548461914, -5.312894821166992, 4.660329818725586, 11.416080474853516, -14.147014617919922, 8.513228416442871, 6.456557273864746, -4.968642234802246, 7.642667293548584, -4.258661270141602, -1.7931967973709106, 6.917075157165527, -0.04894402623176575, 4.3913116455078125]"
datasources\LDC_male\wav\1AX1s0081.wav,anxiety,six thousand twelve,conversation,male,"[-331.3017883300781, 159.42080688476562, -27.612693786621094, 49.872314453125, 34.367671966552734, -15.090996742248535, 13.429582595825195, 2.863637685775757, 0.7918883562088013, 11.230984687805176, -2.6766204833984375, 3.7629334926605225, 4.437778472900391, -1.915177345275879, 3.565990924835205, -2.5356173515319824, -1.5373121500015259, 5.05851411819458, 2.5969581604003906, 2.2596933841705322]"
datasources\LDC_male\wav\1AX1s0090.wav,anxiety,three thousand eight,conversation,male,"[-345.6961669921875, 158.19235229492188, -24.14704132080078, 49.873268127441406, 22.3734073638916, 3.0612406730651855, 46.73823165893555, 14.15871810913086, -0.05260251462459564, -0.019381729885935783, -5.798096656799316, 11.304059028625488, -6.369340896606445, -7.802687168121338, 11.25959300994873, -5.617498874664307, -1.8663510084152222, 5.769777774810791, -3.3212482929229736, 4.225418567657471]"
datasources\LDC_male\wav\1AX1s0091.wav,anxiety,three thousand eight,conversation,male,"[-274.7348937988281, 142.4122314453125, -17.410846710205078, 36.76664733886719, 23.940345764160156, 7.534087657928467, 38.51972961425781, 8.904397010803223, -3.469365358352661, 6.327943325042725, -3.7168166637420654, 1.991943597793579, 1.4122103452682495, -1.1471835374832153, 2.4870550632476807, -5.501728534698486, -1.6391299962997437, 1.6132733821868896, -2.09218692779541, 2.1793413162231445]"
datasources\LDC_male\wav\1AX1s3450.wav,anxiety,may twenty-third,conversation,male,"[-364.80731201171875, 160.25633239746094, -12.374771118164062, 38.060543060302734, 31.165050506591797, 8.444321632385254, 28.113426208496094, 10.500906944274902, 12.030424118041992, 11.65903091430664, -4.560818672180176, 6.9785237312316895, 2.4223761558532715, -1.4644898176193237, 8.291304588317871, -5.2478766441345215, -5.543973445892334, 5.756889820098877, 2.9044907093048096, 2.560232400894165]"
datasources\LDC_male\wav\1BD1s0100.wav,boredom,april fifteenth,conversation,male,"[-630.9706420898438, 140.14483642578125, -41.35133361816406, 52.02275085449219, 12.518383026123047, -1.1709132194519043, 39.84858322143555, -4.530580997467041, 10.12219524383545, 21.03386116027832, 1.2809141874313354, 25.611093521118164, 11.40822696685791, 1.150026559829712, 8.404643058776855, -11.642361640930176, 4.6143646240234375, 12.325274467468262, -4.280796051025391, 5.6101813316345215]"
