,modality,emotion,statement,gender,mfcc
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,audio-only,neutral,Kids are talking by the door,male,"[-716.6409301757812, 64.65345764160156, 8.048600196838379, 14.372879981994629, 0.15701782703399658, 15.943623542785645, 4.46867036819458, 8.16684627532959, -0.08945668488740921, 4.702364444732666, 8.320192337036133, 0.46573662757873535, -0.09389017522335052, 3.35469388961792, -0.4117530882358551, -4.89974308013916, -2.41192626953125, -1.145254373550415, -0.5399445295333862, 1.9645570516586304]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,audio-only,neutral,Kids are talking by the door,male,"[-707.9515991210938, 67.4849853515625, 6.088231563568115, 12.841682434082031, 0.7114452719688416, 18.31692123413086, 3.89005446434021, 7.060378551483154, 1.5532069206237793, 5.899616241455078, 8.815444946289062, 0.9261724948883057, -0.0674225464463234, 2.6115238666534424, -1.1731922626495361, -4.703197956085205, -2.613115072250366, -0.6709911823272705, -1.2576043605804443, 1.356849193572998]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,audio-only,neutral,Dogs are sitting by the door,male,"[-709.2635498046875, 66.22139739990234, 8.955092430114746, 13.742284774780273, 3.0407683849334717, 15.942602157592773, 2.2295215129852295, 7.902140140533447, 1.0986093282699585, 4.527491092681885, 7.835241794586182, 0.7062320709228516, -0.24551396071910858, 2.3816521167755127, 1.1037070751190186, -4.0317254066467285, -4.198518753051758, -1.8595950603485107, -0.3018611967563629, 2.099494457244873]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,audio-only,neutral,Dogs are sitting by the door,male,"[-708.1546020507812, 65.15348052978516, 10.414671897888184, 15.884439468383789, 2.573674201965332, 16.5836181640625, 1.5647060871124268, 8.291202545166016, 2.354451894760132, 6.210247039794922, 7.8280134201049805, 3.052461624145508, -0.390096515417099, 2.599748134613037, -0.8143664598464966, -3.9185595512390137, -4.667305946350098, -1.543018102645874, 0.0031426448840647936, 1.4342719316482544]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,audio-only,calm,Kids are talking by the door,male,"[-750.027099609375, 69.75570678710938, 11.084479331970215, 16.282155990600586, 1.9817980527877808, 17.372045516967773, 3.639695167541504, 10.31287956237793, 1.1057008504867554, 3.7067160606384277, 7.915019989013672, 2.238577127456665, 0.3156163692474365, 2.614088535308838, 0.3796338140964508, -5.364899635314941, -3.382301092147827, -0.11510679125785828, -0.23021183907985687, 0.7321057319641113]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,audio-only,calm,Kids are talking by the door,male,"[-732.6118774414062, 73.67559814453125, 14.061908721923828, 16.651782989501953, -0.7694746255874634, 16.80423927307129, 3.8720617294311523, 10.244455337524414, 2.6062464714050293, 2.5800411701202393, 7.5478835105896, 2.0836825370788574, 0.4409903883934021, 1.5216786861419678, 0.5104901790618896, -5.044792652130127, -3.179490327835083, -1.1928694248199463, 0.40640249848365784, 1.6890345811843872]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,audio-only,calm,Dogs are sitting by the door,male,"[-721.0195922851562, 75.34683990478516, 10.747617721557617, 17.26892852783203, 2.2695608139038086, 17.997859954833984, 1.41814386844635, 9.468658447265625, 2.3639864921569824, 2.9692137241363525, 8.818204879760742, 1.4325801134109497, 2.04807710647583, 4.446135997772217, -0.534873902797699, -5.077909469604492, -3.230360507965088, 0.10703108459711075, 0.4623967707157135, 3.095083236694336]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,audio-only,calm,Dogs are sitting by the door,male,"[-722.683349609375, 76.29833984375, 14.626508712768555, 16.270885467529297, 2.3056435585021973, 18.774118423461914, 1.972720980644226, 9.672710418701172, 3.6269326210021973, 3.869358539581299, 7.997185707092285, 2.1814048290252686, 1.5159701108932495, 4.162225723266602, 0.03295984864234924, -4.56483793258667, -3.7036125659942627, 0.06524529308080673, -0.459987610578537, 3.047178030014038]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,audio-only,calm,Kids are talking by the door,male,"[-759.3300170898438, 74.44985961914062, 15.464738845825195, 17.69855308532715, 1.4942240715026855, 17.780595779418945, 4.294157028198242, 12.083559036254883, 2.506716251373291, 2.94193434715271, 6.099641799926758, 2.585263729095459, 2.164402961730957, 2.8109309673309326, -0.3052753508090973, -3.8593862056732178, -1.268761157989502, -2.889429807662964, -0.2712545394897461, 4.96641731262207]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,audio-only,calm,Kids are talking by the door,male,"[-718.8570556640625, 76.63027954101562, 10.64449405670166, 17.671009063720703, -1.7129919528961182, 18.68478775024414, 0.6287115216255188, 10.82346248626709, 2.6337831020355225, 1.505082368850708, 7.827395915985107, 1.0803097486495972, 1.8702795505523682, 1.208211064338684, -1.3486446142196655, -5.374504566192627, -1.7934057712554932, -1.9017081260681152, -0.28379449248313904, 4.160306930541992]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,audio-only,calm,Dogs are sitting by the door,male,"[-710.2642822265625, 78.94339752197266, 14.0726318359375, 24.43515396118164, -0.060904886573553085, 18.827089309692383, -1.672245740890503, 15.047067642211914, 0.4169882833957672, 3.5961194038391113, 7.901580810546875, 1.8664895296096802, 3.3058505058288574, 3.2719414234161377, -2.8447532653808594, -5.350364685058594, -2.6336138248443604, -1.5028079748153687, -1.2382844686508179, 3.627962112426758]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,audio-only,calm,Dogs are sitting by the door,male,"[-713.0123291015625, 78.47959899902344, 8.189369201660156, 15.77067756652832, 0.28523677587509155, 18.06574058532715, -0.46456146240234375, 11.44715690612793, 2.4000167846679688, 4.032973289489746, 8.429661750793457, 2.123382329940796, 0.7533053755760193, 2.578782081604004, -2.377617120742798, -5.668419361114502, -4.214567184448242, -1.1337482929229736, -1.1233570575714111, 4.802218437194824]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,audio-only,happy,Kids are talking by the door,male,"[-670.09912109375, 75.54975128173828, 8.567893981933594, 12.940109252929688, 0.3282924294471741, 17.397924423217773, 1.8857593536376953, 7.5410051345825195, -0.6552888751029968, 4.252872943878174, 7.885151386260986, -1.9115207195281982, -3.765512228012085, 1.4681806564331055, 0.28286996483802795, -6.3502197265625, -5.327469825744629, -0.06135690212249756, 0.18505293130874634, 0.6103522181510925]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,audio-only,happy,Kids are talking by the door,male,"[-643.930908203125, 75.12946319580078, 7.471980094909668, 10.035688400268555, 1.4565671682357788, 15.886736869812012, 5.022411823272705, 7.874246597290039, -1.1122769117355347, 4.9745001792907715, 10.079850196838379, -2.3910984992980957, -4.041494369506836, 1.6689696311950684, 1.4144116640090942, -6.848089694976807, -5.758698463439941, -1.563717007637024, 2.0149435997009277, 0.3876906931400299]"
