,anxiety,cold anger,contempt,disgust,dominant,despair,elation,hot anger,happy,interest,neutral,panic,passive,shame,sadness,boredom,pride
anxiety,17,0,1,1,1,0,0,2,0,0,2,7,1,2,0,1,0
cold anger,0,9,0,2,1,0,3,0,1,1,0,5,0,5,2,1,0
contempt,0,0,10,3,0,1,3,0,2,1,0,2,0,5,0,0,0
disgust,1,0,0,18,0,1,1,2,1,0,1,2,1,1,2,1,3
dominant,1,0,2,0,8,2,1,1,0,1,1,7,1,4,0,1,1
despair,1,0,2,0,0,16,1,1,0,0,0,1,2,0,0,0,1
elation,1,0,1,4,0,1,63,1,0,3,1,10,0,2,3,0,0
hot anger,0,0,1,0,0,1,1,20,2,4,0,1,1,3,0,1,2
happy,0,0,2,4,0,1,2,0,16,0,2,4,1,1,1,0,0
interest,0,0,1,1,0,1,3,2,3,17,0,2,2,1,0,0,0
neutral,0,2,1,4,1,1,1,0,0,1,10,7,2,2,2,0,2
panic,2,0,3,3,4,2,4,5,2,2,2,248,6,6,1,1,3
passive,0,0,0,1,0,0,0,2,0,2,1,6,17,1,0,0,0
shame,1,0,2,2,4,1,4,0,0,0,3,11,1,48,2,2,0
sadness,1,1,0,2,2,0,5,1,1,1,0,3,0,2,7,1,0
boredom,1,0,0,3,0,1,1,0,0,0,0,10,0,1,1,16,0
pride,0,3,0,3,3,0,1,4,0,0,3,5,0,2,0,1,6
