,boredom,cold anger,contempt,disgust,dominant,despair,elation,hot anger,happy,interest,neutral,panic,pride,passive,shame,sadness,anxiety
boredom,9,1,0,1,2,1,1,0,0,0,2,7,0,2,0,0,0
cold anger,3,14,1,3,2,0,2,0,0,0,2,5,0,3,0,0,1
contempt,1,2,8,3,4,3,5,1,0,3,0,5,0,2,0,0,0
disgust,0,0,4,9,1,0,1,1,0,0,1,3,0,3,0,1,3
dominant,5,1,1,0,13,0,2,0,1,1,4,8,0,1,0,0,0
despair,2,0,0,0,0,15,0,1,1,1,0,5,0,2,0,0,1
elation,0,2,1,2,3,0,64,2,3,1,0,4,0,6,1,0,1
hot anger,0,0,0,1,1,1,3,19,1,0,1,4,3,1,0,1,0
happy,0,0,1,1,1,2,0,2,11,2,1,1,0,0,1,0,0
interest,0,0,1,0,1,2,3,1,2,12,1,7,2,0,2,0,0
neutral,0,0,1,3,0,0,1,0,2,0,15,5,0,4,1,2,1
panic,3,0,1,9,1,0,4,3,0,3,4,254,3,6,1,2,4
pride,1,0,2,1,0,0,0,2,0,0,0,4,14,2,0,0,0
passive,5,0,2,2,1,2,1,2,0,0,2,19,0,47,3,0,0
shame,1,2,2,2,0,0,6,3,3,1,1,4,1,2,4,2,0
sadness,1,0,1,1,3,0,1,0,0,0,2,11,1,0,0,7,2
anxiety,2,1,0,1,0,0,0,0,0,0,1,7,0,3,1,1,10
