,anxiety,boredom,cold anger,contempt,disgust,dominant,despair,elation,hot anger,happy,interest,neutral,panic,pride,passive,shame,sadness
anxiety,22,2,0,0,2,1,1,0,0,0,2,1,2,7,0,1,1
boredom,1,10,1,0,2,0,1,0,0,0,0,10,0,2,1,1,0
cold anger,2,0,5,2,2,2,1,0,2,1,1,6,1,1,1,1,0
contempt,0,2,1,15,2,0,6,1,2,0,3,10,0,1,1,0,0
disgust,5,0,2,1,7,1,2,1,0,0,3,6,1,2,1,1,1
dominant,0,0,0,1,0,18,1,0,1,1,0,9,3,2,0,1,1
despair,2,1,0,4,0,1,48,2,2,1,2,9,0,6,3,0,0
elation,3,0,2,0,1,1,0,16,3,1,0,3,2,0,0,0,2
hot anger,0,1,0,0,0,0,1,2,13,0,0,0,1,3,0,0,0
happy,0,0,0,0,1,1,4,2,0,19,1,5,1,1,2,0,1
interest,0,1,0,1,3,1,2,0,1,0,13,5,2,4,2,1,2
neutral,2,1,0,3,2,0,6,1,0,1,0,241,4,8,0,3,2
panic,1,0,0,0,1,0,1,1,1,1,0,3,14,1,1,0,0
pride,4,0,1,3,1,1,4,0,0,2,0,21,1,45,1,1,2
passive,0,0,0,0,2,0,2,1,1,1,2,3,2,4,11,2,1
shame,0,1,0,1,2,1,0,0,1,0,0,12,1,1,1,13,3
sadness,0,1,1,2,0,2,0,0,0,1,3,8,0,2,0,2,5
